business_date,portfolio_id,security_id,quantity,price,currency,exchange
2023-06-30,PORT001,AAPL,100,189.52,USD,NASDAQ
2023-06-30,PORT002,MSFT,-50,331.29,USD,NASDAQ 
2023-06-30,PORT001,GOOGL,25,122.47,USD,NASDAQ
06/30/2023,PORT003,JPM,75,143.43,USD,NYSE
2023-06-30,PORT004,PFE,(200),39.98,USD,NYSE
2023-06-30,PORT002,NVDA,30,453.09,USD,NASDAQ
30-06-2023,PORT005,XOM,50,106.85,USD,NYSE 
2023-06-30,PORT001,AMZN ,-25,116.66,USD,NASDAQ
2023-06-30,PORT003,BAC,300,29.94,USD,NYSE
2023-06-30,PORT005,CVX,-40,110.12,USD,NYSE
2023-06-30,PORT004,JNJ,20,175.31,USD,NYSE
2023-06-30,PORT002,AMD,100,109.88,USD,NASDAQ
2023-06-30,PORT001,MSFT,40,338.66,USD,NASDAQ
2023-06-30,PORT003,WFC,-100,43.33,USD,NYSE
2023-06-30,PORT005,XOM,30,107.02,USD,NYSE
