business_date,portfolio_id,security_id,quantity,price,transaction_type
2023-06-30,PORT001,AAPL,100,189.52,BUY
2023-06-30,PORT002,MSFT,-50,331.29,SELL
2023-06-30,PORT001,GOOGL,25,122.47,BUY
2023-06-30,PORT003,JPM,75,143.43,BUY
2023-06-30,PORT 004,PFE,-200,39.98,SELL
2023-06-30,PORT002,NVDA,30,453.09,BUY
2023-06-30,PORT005,XOM,50,106,BUY
2023-06-30,PORT001,AMZN,(25),116.66,SELL
2023-06-30,PORT003,BAC,300,29.94,BUY
2023-06-30,PORT005,CVX,-40,110.12,SELL
2023-06-30,PORT004,JNJ,20,175.31,BUY
2023-06-30,PORT002,AMD,100.00,109.88,BUY
2023-06-30,PORT001,MSFT,40,338.66,BUY
2023-06-30,PORT003,WFC,-100,43.33,SELL
2023-06-30,PORT005,XOM,30,107.02,BUY
